pdb_id	scope_class
1ANN	a
1AYP	a
1AZS	a
1BOD	a
1C0W	a
1CBM	a
1CCI	a
1CD9	a
1CRK	a
1DNP	a
1E7H	a
1EGC	a
1EGD	a
1F0Y	a
1FCD	a
1FPW	a
1G5Y	a
1GG2	a
1GSF	a
1GT8	a
1GWX	a
1H1P	a
1H6P	a
1HAB	a
1HT5	a
1I0E	a
1J7W	a
1JIN	a
1JNZ	a
1JRP	a
1L8H	a
1L8I	a
1LRE	a
1MH2	a
1MHY	a
1NGK	a
1O79	a
1O7F	a
1OH6	a
1OUU	a
1PY2	a
1RFY	a
1S64	a
1SJ2	a
1SMY	a
1TJL	a
1TK6	a
1TNU	a
1U84	a
1U97	a
1U9P	a
1WRL	a
1X6I	a
1XFZ	a
1XG1	a
1Y7C	a
1YFF	a
1Z0X	a
1Z6R	a
1ZL9	a
1ZOA	a
2A07	a
2B88	a
2BPG	a
2C4J	a
2C7L	a
2F2C	a
2FM0	a
2GZE	a
2H9D	a
2IB0	a
2IJJ	a
2JD6	a
2KZG	a
2NUF	a
2OIG	a
2P81	a
2PGD	a
2PJQ	a
2PUE	a
2QUP	a
2R9E	a
2UUM	a
2VCX	a
2VJH	a
2WTK	a
2WV1	a
2X9C	a
2XJM	a
2Y3Q	a
3A01	a
3B9M	a
3BP9	a
3BTC	a
3C1L	a
3CSM	a
3CVT	a
3DBJ	a
3DPY	a
3DW8	a
3EA5	a
3ECN	a
3FK6	a
3GTU	a
3I5F	a
3IF7	a
3K75	a
3MYI	a
3NBS	a
3OED	a
3OFU	a
3Q5F	a
3QB1	a
3QB5	a
3QRF	a
3REO	a
3V8D	a
3WSP	a
4APA	a
4BF4	a
4D08	a
4DUB	a
4EDZ	a
4GCO	a
4JAG	a
4JDG	a
4MX2	a
4PZN	a
4RAY	a
4RXD	a
4S0T	a
4TO9	a
4TOB	a
4WYV	a
4XKT	a
4ZKW	a
4ZL6	a
4ZT2	a
5AQD	a
5B1M	a
5BSH	a
5DLX	a
5EE4	a
5IGM	a
5JU7	a
5KER	a
5KSX	a
5L8G	a
5LBH	a
5NID	a
5NX8	a
5OBB	a
5OVO	a
5PD0	a
5RKT	a
5RZR	a
5SX1	a
5TMF	a
5TR0	a
5TUW	a
5U3W	a
5URC	a
5VO4	a
5WOZ	a
5Y0C	a
6BRQ	a
6C2Y	a
6DQY	a
6FU3	a
6GUB	a
6HAE	a
6HRD	a
6I80	a
6JGF	a
6KX6	a
6L1B	a
6LBI	a
6LPE	a
6MQD	a
6NLF	a
6P8K	a
6PRH	a
6RCR	a
6RH7	a
6TSY	a
6WZ2	a
6ZI7	a
7A62	a
7D1F	a
7DLI	a
7K5H	a
7KHL	a
7MK8	a
9ICM	a
1AL2	b
1AQC	b
1B6J	b
1BOS	b
1BQP	b
1C4R	b
1C9S	b
1CFT	b
1CIN	b
1CLY	b
1D9K	b
1DM0	b
1DVA	b
1E0F	b
1EEF	b
1F0L	b
1F97	b
1G7Y	b
1GMW	b
1H5N	b
1HWG	b
1I81	b
1IO6	b
1J9W	b
1LLU	b
1MCJ	b
1MG2	b
1MJ7	b
1N1S	b
1NCR	b
1NDH	b
1NDO	b
1O5C	b
1POV	b
1S0B	b
1SMC	b
1SQT	b
1SVA	b
1SXA	b
1T04	b
1U7F	b
1U8E	b
1UEQ	b
1UWE	b
1V3L	b
1V6K	b
1W8O	b
1W9A	b
1XO7	b
1Y3V	b
1YEL	b
1YUP	b
1Z32	b
1Z5H	b
2A1W	b
2AK4	b
2AS9	b
2BD8	b
2BP6	b
2DMC	b
2F9B	b
2FCF	b
2FHQ	b
2FJU	b
2GDD	b
2GF7	b
2H53	b
2JF2	b
2JPP	b
2NTD	b
2RCE	b
2RMC	b
2WYF	b
2XZ6	b
2YME	b
2ZOK	b
3AUV	b
3CC4	b
3CFM	b
3CN1	b
3CQO	b
3CVH	b
3DJK	b
3DMB	b
3DVG	b
3FTU	b
3H2P	b
3HBV	b
3IS4	b
3JZI	b
3K75	b
3LLP	b
3LMJ	b
3M1B	b
3M5I	b
3MUZ	b
3NOX	b
3NPS	b
3OUN	b
3RCF	b
3RTQ	b
3SDD	b
3T64	b
3U6X	b
3U8N	b
3WTH	b
3ZYR	b
4FM6	b
4FMH	b
4FVV	b
4GKX	b
4HAN	b
4KQ3	b
4LEO	b
4LIY	b
4M6N	b
4N0F	b
4QFM	b
4TKH	b
4WA4	b
4WWI	b
4Z5R	b
5ALC	b
5B6F	b
5BKE	b
5DS2	b
5EGT	b
5F2W	b
5I3V	b
5IW3	b
5JAV	b
5LL4	b
5LXG	b
5M3V	b
5M76	b
5MNQ	b
5MX3	b
5N2K	b
5PA9	b
5PAS	b
5PN1	b
5PND	b
5QDA	b
5QSH	b
5R3N	b
5RGO	b
5TQN	b
5U3P	b
5U4R	b
5USL	b
5WG4	b
5WI9	b
5X2N	b
5X8L	b
5XRQ	b
5XRT	b
5Y7J	b
6BK7	b
6CJZ	b
6FAF	b
6FMK	b
6FXN	b
6I15	b
6I8S	b
6LHK	b
6NCF	b
6PHC	b
6PZH	b
6QBA	b
6RLM	b
6SHI	b
6TTE	b
6U6U	b
6UE7	b
6V46	b
6VMK	b
6XTK	b
6YYK	b
6YZA	b
6YZP	b
7ALS	b
7CED	b
7E7Y	b
7EA6	b
7EO4	b
7LJ4	b
7LY2	b
7MF7	b
7NG6	b
8DRV	b
1BTJ	c
1CPU	c
1CYD	c
1EAY	c
1EEH	c
1FQK	c
1G5X	c
1GQ2	c
1GQO	c
1GZ7	c
1ISH	c
1IXR	c
1JHZ	c
1JLR	c
1JOA	c
1JZ8	c
1KAR	c
1KH4	c
1KHG	c
1KHH	c
1KY5	c
1MB4	c
1MJH	c
1MXG	c
1N9K	c
1NMD	c
1OSN	c
1PJL	c
1Q1W	c
1QMV	c
1R9G	c
1RII	c
1S2L	c
1SZN	c
1T91	c
1USG	c
1VMK	c
1W87	c
1WB5	c
1WSB	c
1X0V	c
1X7G	c
1XJO	c
1Y0B	c
1YCG	c
1YDE	c
1YG8	c
1YIJ	c
1YLO	c
1Z7A	c
1Z8H	c
1ZK3	c
2BET	c
2BMX	c
2BO4	c
2BUP	c
2C1Y	c
2C4H	c
2CX4	c
2D1P	c
2DV0	c
2GQK	c
2H1R	c
2HI0	c
2HT9	c
2IHU	c
2J6L	c
2OCP	c
2OQH	c
2OQY	c
2OWX	c
2P5N	c
2PHP	c
2PKR	c
2QNZ	c
2R24	c
2VK1	c
2WF7	c
2ZBD	c
2ZDG	c
2ZL0	c
3AIM	c
3AT1	c
3CL6	c
3D7E	c
3DEQ	c
3ENZ	c
3EXF	c
3EZ4	c
3FHJ	c
3G1Y	c
3GYE	c
3H3N	c
3HXQ	c
3II0	c
3IL7	c
3ITH	c
3K4H	c
3LGS	c
3MS2	c
3N2N	c
3N80	c
3O38	c
3P5M	c
3PWA	c
3Q6J	c
3QFR	c
3RDW	c
3RWB	c
3TPF	c
4A2B	c
4AHO	c
4AJH	c
4ASJ	c
4CFZ	c
4E2D	c
4EF6	c
4GF5	c
4GLF	c
4JR0	c
4KE7	c
4L16	c
4L65	c
4MIT	c
4PZE	c
4Q5I	c
4RXG	c
4UJ5	c
4WY0	c
4X7B	c
4ZO4	c
4ZXP	c
4ZZ9	c
5B1Y	c
5BYE	c
5CEE	c
5CMS	c
5DHA	c
5DVB	c
5E70	c
5EKC	c
5F38	c
5HC6	c
5I4C	c
5INT	c
5IS8	c
5LOD	c
5MAC	c
5MYE	c
5R1H	c
5RU5	c
5S4F	c
5SYM	c
5TFJ	c
5U8M	c
5UME	c
5USJ	c
5W8V	c
5WEG	c
5YBW	c
5YNC	c
5Z19	c
5ZJE	c
6ASV	c
6AYR	c
6CVD	c
6DJM	c
6DRB	c
6DXD	c
6EG5	c
6F5V	c
6F84	c
6FQJ	c
6FWO	c
6HUF	c
6J7H	c
6J9T	c
6LLC	c
6MKX	c
6NAW	c
6OFU	c
6PCB	c
6QKW	c
6RVM	c
6SBV	c
6VEA	c
6WWG	c
6WWO	c
6XRU	c
7C0Y	c
7CAV	c
7CS2	c
7DSF	c
7K4P	c
7LAO	c
7MHV	c
1AHV	d
1BKC	d
1CWV	d
1DKI	d
1DML	d
1E8I	d
1F7W	d
1G61	d
1GB1	d
1H4Q	d
1IM3	d
1IR2	d
1KE7	d
1LGT	d
1LI1	d
1LN3	d
1LNQ	d
1M4P	d
1M7Z	d
1MIT	d
1N36	d
1NJI	d
1NTF	d
1PVY	d
1Q82	d
1TDJ	d
1TIG	d
1TVB	d
1UF3	d
1XY7	d
1YWR	d
1ZHB	d
1ZUX	d
2A8K	d
2B2G	d
2BBH	d
2BS2	d
2C39	d
2CHS	d
2D1O	d
2DNZ	d
2DT1	d
2FC2	d
2FZC	d
2FZK	d
2G7E	d
2GBX	d
2GHL	d
2HJL	d
2HX4	d
2J3O	d
2MQM	d
2N54	d
2NTI	d
2OD4	d
2PSO	d
2Q43	d
2QNF	d
2QQ4	d
2UXD	d
2VFC	d
2VN9	d
2W2C	d
2XNM	d
2XR8	d
2Y5B	d
2YNT	d
2Z3M	d
3AMZ	d
3B8M	d
3CGL	d
3CRK	d
3CSN	d
3D5G	d
3DY3	d
3EJX	d
3F6Z	d
3GPW	d
3H6I	d
3IEZ	d
3IW8	d
3LCT	d
3LMN	d
3N3X	d
3NZX	d
3OJK	d
3Q9F	d
3QUZ	d
3R9Z	d
3SL7	d
3ZKJ	d
3ZNJ	d
3ZUU	d
3ZZZ	d
4B0J	d
4B5C	d
4EDS	d
4EGR	d
4HOI	d
4HRC	d
4HYP	d
4JFK	d
4K1R	d
4MMG	d
4MMW	d
4MU1	d
4N6Z	d
4NCP	d
4PLU	d
4QLU	d
4QP1	d
4QW5	d
4QWL	d
4QWX	d
4QXJ	d
4QZ5	d
4QZE	d
4QZX	d
4S0U	d
4TWC	d
4UH2	d
4Y8R	d
4YM8	d
4Z7V	d
4ZFU	d
4ZGL	d
5AEU	d
5B4O	d
5BZE	d
5CTY	d
5D0V	d
5D65	d
5DKL	d
5DPH	d
5ES3	d
5FGD	d
5FQB	d
5G22	d
5IOQ	d
5JH7	d
5JTQ	d
5KP1	d
5L38	d
5L5W	d
5L5Z	d
5L68	d
5LEX	d
5MZE	d
5NI3	d
5OY6	d
5Q8K	d
5S5U	d
5S67	d
5S7G	d
5UIW	d
5UO6	d
5W7Z	d
5W86	d
5YWH	d
5Z4O	d
5ZRO	d
6BAD	d
6BLX	d
6BRU	d
6BV2	d
6C6C	d
6E1X	d
6FVZ	d
6GZE	d
6HTC	d
6HTD	d
6I1D	d
6ICZ	d
6KZX	d
6LR3	d
6LUM	d
6NGL	d
6NGY	d
6PFR	d
6QUH	d
6RYA	d
6T0B	d
6U1H	d
6VHN	d
6VNK	d
6WEP	d
7CD2	d
7CNM	d
7DCD	d
7JLT	d
7KDR	d
1ATT	e
1BA3	e
1C1B	e
1C1C	e
1CI8	e
1DVM	e
1FBH	e
1FPI	e
1FPJ	e
1FQG	e
1G0I	e
1HAR	e
1HMV	e
1HVU	e
1I2L	e
1I6J	e
1IJG	e
1IS2	e
1IZN	e
1JIH	e
1JNB	e
1K93	e
1KDS	e
1M6K	e
1MWT	e
1PIO	e
1QAJ	e
1QQW	e
1S4F	e
1T03	e
1T05	e
1TAU	e
1U8V	e
1UBO	e
1UHG	e
1UVI	e
1XHZ	e
1XQJ	e
1YQW	e
2A1T	e
2AX1	e
2AYI	e
2BTV	e
2C0U	e
2COG	e
2CZI	e
2D26	e
2EIY	e
2FLP	e
2FRV	e
2FVS	e
2HHW	e
2HNY	e
2IAJ	e
2IJN	e
2JC7	e
2JJK	e
2NOV	e
2P1R	e
2P9V	e
2R8T	e
2VDY	e
2VIG	e
2WBD	e
2WKE	e
2XCP	e
2ZM2	e
3A29	e
3BFC	e
3C7V	e
3CDW	e
3DXJ	e
3GOL	e
3I9V	e
3IAM	e
3IPL	e
3JZD	e
3K5N	e
3K9F	e
3N6L	e
3NAH	e
3NI9	e
3NKD	e
3NMA	e
3NUH	e
3NWA	e
3P9S	e
3PQ2	e
3PQ3	e
3Q7V	e
3RMD	e
3SFU	e
3TAE	e
3TTW	e
3U16	e
3V50	e
4A8O	e
4BLC	e
4BWJ	e
4C2M	e
4DS5	e
4DTP	e
4E37	e
4ELY	e
4EQI	e
4FK0	e
4G8R	e
4I2P	e
4IBR	e
4IC0	e
4IRN	e
4JV2	e
4K8Z	e
4KL8	e
4NZ0	e
4O44	e
4O4G	e
4O6P	e
4OO8	e
4QOM	e
4QOO	e
4UE6	e
4UEQ	e
4UPE	e
4W8K	e
4WEL	e
4WMC	e
4Y0T	e
5AF7	e
5BWW	e
5C25	e
5E25	e
5EQA	e
5EUA	e
5F1F	e
5IY2	e
5KKF	e
5KYT	e
5MGI	e
5PZP	e
5PZY	e
5Q00	e
5Q03	e
5Q05	e
5QAL	e
5QAO	e
5QAS	e
5QAW	e
5QB0	e
5VQQ	e
5W13	e
5W2E	e
5XF9	e
5Y34	e
6AOC	e
6C7A	e
6CSJ	e
6CYQ	e
6H5O	e
6HPS	e
6LC9	e
6MVO	e
6MZ1	e
6PO0	e
6RP2	e
6S62	e
6SKQ	e
6UE2	e
6UVK	e
6V1O	e
6V6P	e
6VN1	e
6W34	e
6W5E	e
6WHF	e
6XQX	e
6Z8O	e
6ZKV	e
6ZRH	e
6ZTV	e
6ZTW	e
7ASS	e
7K2W	e
7K2X	e
7KIO	e
7LJK	e
7LV7	e
8CAT	e
1ACC	f
1C17	f
1C3W	f
1DLC	f
1E6D	f
1F88	f
1FCP	f
1HXT	f
1IM0	f
1J95	f
1KYO	f
1L0M	f
1M0K	f
1MPN	f
1OCC	f
1OTT	f
1S00	f
1SQB	f
1SQV	f
1T16	f
1T1L	f
1T5E	f
1TN5	f
1TQQ	f
1TZO	f
1URZ	f
1V54	f
1V55	f
1VF5	f
1YST	f
2ABO	f
2BNS	f
2DHH	f
2E74	f
2EIJ	f
2EIL	f
2EIM	f
2H88	f
2J8C	f
2J8D	f
2NR9	f
2NWL	f
2OCC	f
2P1L	f
2PNO	f
2PRC	f
2Q7R	f
2UWU	f
2VV5	f
2WLI	f
2WU2	f
2ZFE	f
3ABK	f
3AG1	f
3AG4	f
3ASO	f
3B07	f
3BQ9	f
3CIR	f
3CX5	f
3CXH	f
3G60	f
3H1H	f
3H1J	f
3I4D	f
3IGA	f
3IHC	f
3J9T	f
3JBR	f
3L70	f
3L72	f
3L73	f
3NE2	f
3PIK	f
3QBG	f
3QJQ	f
3QJS	f
3RKO	f
3SZD	f
3V3Z	f
3WGU	f
3WMM	f
3X2Q	f
3ZPQ	f
4G27	f
4HBJ	f
4HYX	f
4MS2	f
4OGQ	f
4OQ5	f
4P1X	f
4PD4	f
4RKU	f
4TUH	f
4UB8	f
4UU1	f
4UXX	f
5AVU	f
5B1B	f
5B5E	f
5B66	f
5B6V	f
5BUN	f
5DWK	f
5E9S	f
5GTH	f
5I82	f
5L8R	f
5MV2	f
5NXU	f
5O9C	f
5OKD	f
5TIS	f
5VKC	f
5W97	f
5WS5	f
5X1F	f
5XDQ	f
5XDX	f
5Y5S	f
5Z85	f
5ZCP	f
5ZZN	f
6CI0	f
6ENE	f
6ET5	f
6EXS	f
6GAI	f
6H7V	f
6IV3	f
6IW1	f
6J8M	f
6JLJ	f
6JLL	f
6JLP	f
6JO5	f
6JY4	f
6LY5	f
6MWA	f
6NKN	f
6NMF	f
6OQT	f
6PE4	f
6TRC	f
6TRD	f
6UVH	f
6UZV	f
6WXI	f
6YC4	f
6Z1J	f
6Z5R	f
6Z5S	f
6ZKM	f
7B03	f
7C52	f
7CJI	f
7CJJ	f
7COH	f
7COU	f
7CRI	f
7D5X	f
7DXH	f
7DZ7	f
7DZ8	f
7EQD	f
7JGV	f
7JZ2	f
7K7B	f
7LH7	f
7NHO	f
7VNM	f
7VVR	f
1A1I	g
1AAF	g
1AJY	g
1B2A	g
1C9T	g
1CEJ	g
1CIT	g
1CKL	g
1CVU	g
1D6B	g
1DEC	g
1DMC	g
1DQB	g
1DVA	g
1DX5	g
1E4V	g
1EAK	g
1EN2	g
1ETH	g
1EVR	g
1EXK	g
1F2I	g
1F3H	g
1G9P	g
1GMN	g
1GMO	g
1GXD	g
1HCQ	g
1HIA	g
1HT8	g
1HYI	g
1I3Q	g
1IOE	g
1IQK	g
1K7U	g
1LD5	g
1M0G	g
1M2O	g
1M4U	g
1MDA	g
1MGX	g
1MYN	g
1N7D	g
1N8Z	g
1NJ3	g
1NUB	g
1NYU	g
1OJW	g
1OJY	g
1OK3	g
1OQE	g
1PFV	g
1PML	g
1PTH	g
1PVM	g
1Q86	g
1QFK	g
1QLQ	g
1RFX	g
1RH7	g
1RMJ	g
1RQF	g
1S4Y	g
1SRZ	g
1T9P	g
1TEJ	g
1TF6	g
1TJL	g
1TPG	g
1TUG	g
1TWA	g
1TXM	g
1TYL	g
1UL4	g
1VZG	g
1VZM	g
1W0Y	g
1WEU	g
1WGC	g
1WHF	g
1X3C	g
1X62	g
1XF7	g
1XSW	g
1Y0J	g
1ZLI	g
1ZNJ	g
2ADR	g
2AGY	g
2AIY	g
2AK2	g
2AKL	g
2B0U	g
2BBK	g
2C7M	g
2CON	g
2DIP	g
2DOI	g
2EN4	g
2EP1	g
2EPF	g
2ERA	g
2FD6	g
2FIF	g
2G9T	g
2GA6	g
2GAT	g
2GVI	g
2H47	g
2HEV	g
2HIP	g
2I9A	g
2J2S	g
2J95	g
2JMN	g
2M0P	g
2M3Z	g
2MXO	g
2MY1	g
2OK5	g
2QA4	g
2QJ2	g
2QJ4	g
2RAX	g
2UVO	g
2V86	g
2VPF	g
2WGC	g
2WPK	g
2X3T	g
2Z3R	g
3AT1	g
3B2U	g
3BE1	g
3BTH	g
3ENS	g
3ERA	g
3G9M	g
3GAT	g
3GPX	g
3HMT	g
3HPT	g
